,ID,sepal length(cm),sepal width(cm),petal length(cm),petal width(cm),class
0,1,4.9,3.0,1.4,0.2,Iris-setosa
1,2,4.7,3.2,1.3,0.2,Iris-setosa
2,3,4.6,3.1,1.5,0.2,Iris-setosa
3,4,5.0,3.6,1.4,0.2,Iris-setosa
4,5,5.4,3.9,1.7,0.4,Iris-setosa
5,6,4.6,3.4,1.4,0.3,Iris-setosa
6,7,5.0,3.4,1.5,0.2,Iris-setosa
7,8,4.4,2.9,1.4,0.2,Iris-setosa
8,9,4.9,3.1,1.5,0.1,Iris-setosa
9,10,5.4,3.7,1.5,0.2,Iris-setosa
10,11,4.8,3.4,1.6,0.2,Iris-setosa
11,12,4.8,3.0,1.4,0.1,Iris-setosa
12,13,4.3,3.0,1.1,0.1,Iris-setosa
13,14,5.8,4.0,1.2,0.2,Iris-setosa
14,15,5.7,4.4,1.5,0.4,Iris-setosa
15,16,5.4,3.9,1.3,0.4,Iris-setosa
16,17,5.1,3.5,1.4,0.3,Iris-setosa
17,18,5.7,3.8,1.7,0.3,Iris-setosa
18,19,5.1,3.8,1.5,0.3,Iris-setosa
19,20,5.4,3.4,1.7,0.2,Iris-setosa
20,21,5.1,3.7,1.5,0.4,Iris-setosa
21,22,4.6,3.6,1.0,0.2,Iris-setosa
22,23,5.1,3.3,1.7,0.5,Iris-setosa
23,24,4.8,3.4,1.9,0.2,Iris-setosa
24,25,5.0,3.0,1.6,0.2,Iris-setosa
25,26,5.0,3.4,1.6,0.4,Iris-setosa
26,27,5.2,3.5,1.5,0.2,Iris-setosa
27,28,5.2,3.4,1.4,0.2,Iris-setosa
28,29,4.7,3.2,1.6,0.2,Iris-setosa
29,30,4.8,3.1,1.6,0.2,Iris-setosa
30,31,5.4,3.4,1.5,0.4,Iris-setosa
31,32,5.2,4.1,1.5,0.1,Iris-setosa
32,33,5.5,4.2,1.4,0.2,Iris-setosa
34,34,5.0,3.2,1.2,0.2,Iris-setosa
35,35,5.5,3.5,1.3,0.2,Iris-setosa
37,36,4.4,3.0,1.3,0.2,Iris-setosa
38,37,5.1,3.4,1.5,0.2,Iris-setosa
39,38,5.0,3.5,1.3,0.3,Iris-setosa
40,39,4.5,2.3,1.3,0.3,Iris-setosa
41,40,4.4,3.2,1.3,0.2,Iris-setosa
42,41,5.0,3.5,1.6,0.6,Iris-setosa
43,42,5.1,3.8,1.9,0.4,Iris-setosa
